timestamp,온도,습도
2023-12-31 00:00:00,1.3,97
2023-12-31 01:00:00,1.4,98
2023-12-31 02:00:00,1.4,98
2023-12-31 03:00:00,1.5,98
2023-12-31 04:00:00,1.5,98
2023-12-31 05:00:00,1.4,99
2023-12-31 06:00:00,1.5,99
2023-12-31 07:00:00,0.8,100
2023-12-31 08:00:00,0.9,100
2023-12-31 09:00:00,1.3,94
2023-12-31 10:00:00,1.8,94
2023-12-31 11:00:00,2.6,91
2023-12-31 12:00:00,3.2,88
2023-12-31 13:00:00,3.5,84
2023-12-31 14:00:00,4.9,72
2023-12-31 15:00:00,5.3,68
2023-12-31 16:00:00,5.0,68
2023-12-31 17:00:00,2.0,85
2023-12-31 18:00:00,-0.5,88
2023-12-31 19:00:00,0.2,89
2023-12-31 20:00:00,-0.3,92
2023-12-31 21:00:00,-1.3,93
2023-12-31 22:00:00,-0.8,94
2023-12-31 23:00:00,-2.1,94
